Segmento,Clientes Totales,Clientes Churn,Alertados Correctos (TP),Clientes Alertados,Recall,Precision,F1 Score,Accuracy,Costo_Campana_USD,Ganancia_Retencion_USD,Beneficio_Neto_ROI_USD
Global,2026,326,310,403,0.950920245398773,0.7692307692307693,0.850480109739369,0.9461994076999013,6072,24240.0,18168.0
C0: Financiados (Alivio),870,73,66,98,0.9041095890410958,0.673469387755102,0.7719298245614035,0.9551724137931035,3430,8910.0,5480.0
C1: Súper Usr. (Contacto Premium),212,4,3,3,0.75,1.0,0.8571428571428571,0.9952830188679245,750,1799.9999999999998,1049.9999999999998
C2: VIP Pasivos (Re-engagement),300,44,42,56,0.9545454545454546,0.75,0.84,0.9466666666666667,1400,7560.0,6160.0
C3: Alerta Roja (Red Arrastre),644,205,199,246,0.9707317073170731,0.8089430894308943,0.8824833702882482,0.9177018633540373,492,5970.0,5478.0
